2023-09-06 10:05:19,074 - FINNIFTY12SEP23C20100 went long at price-14.45, time-10:5:19
2023-09-06 10:05:19,075 - long entry dict:[0.0, 14.45]
2023-09-06 10:05:19,075 - long exit dict:[0.0]
2023-09-06 10:05:19,075 - HEDGE-FINNIFTY12SEP23C20100 went long at price-14.45, time-10:5:19
2023-09-08 09:31:15,657 - FINNIFTY12SEP23C20100 went short at price-40.95, time-9:31:15
2023-09-08 09:31:15,658 - short entry dict: [0.0, 40.95]
2023-09-08 09:31:33,629 - short entry dict: [0.0, 40.95]
2023-09-08 09:31:33,629 - short exit dict: [0.0, 43.65]
2023-09-08 09:31:33,629 - last entry was at : 40.95 and exit at: 43.65
2023-09-08 09:31:33,629 - short pnl booked until now:-431.9999999999993
2023-09-08 09:44:59,211 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 09:44:59.211556+05:30 is 44.55
2023-09-08 09:59:59,180 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 09:59:59.180562+05:30 is 48.05
2023-09-08 10:14:59,184 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 10:14:59.184066+05:30 is 41.65
2023-09-08 10:29:59,239 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 10:29:59.239214+05:30 is 39.55
2023-09-08 10:44:59,114 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 10:44:59.114197+05:30 is 39.5
2023-09-08 10:59:59,015 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 10:59:59.015031+05:30 is 43.6
2023-09-08 11:14:59,164 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 11:14:59.164329+05:30 is 39.95
2023-09-08 11:29:59,084 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 11:29:59.084737+05:30 is 50.85
2023-09-08 11:44:59,189 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 11:44:59.189693+05:30 is 95.3
2023-09-08 11:59:59,037 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 11:59:59.036824+05:30 is 100.2
2023-09-08 12:14:59,232 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 12:14:59.232759+05:30 is 106.8
2023-09-08 12:29:59,088 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 12:29:59.088474+05:30 is 96.0
2023-09-08 12:44:59,035 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 12:44:59.035702+05:30 is 117.65
2023-09-08 12:59:59,219 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 12:59:59.219755+05:30 is 101.0
2023-09-08 13:14:59,044 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 13:14:59.044524+05:30 is 98.3
2023-09-08 13:29:59,059 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 13:29:59.059352+05:30 is 96.1
2023-09-08 13:44:59,275 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 13:44:59.275143+05:30 is 112.95
2023-09-08 13:59:59,264 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 13:59:59.264737+05:30 is 105.35
2023-09-08 14:14:59,145 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 14:14:59.145519+05:30 is 115.5
2023-09-08 14:29:59,081 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 14:29:59.081454+05:30 is 166.1
2023-09-08 14:44:59,290 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 14:44:59.290109+05:30 is 107.65
2023-09-08 14:59:59,082 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 14:59:59.081741+05:30 is 104.6
2023-09-08 15:14:59,207 - FINNIFTY12SEP23C20100 candle closing price at time 2023-09-08 15:14:59.207804+05:30 is 88.6
